,movie,year,imdb,metascore,votes,n_imdb
2603,Magic Mike XXL,2015,5.6,60        ,46062,56.0
2604,The Little Prince,2015,7.8,70        ,45487,78.0
2605,Woman in Gold,2015,7.3,51        ,45116,73.0
2606,Solace,2015,6.4,36        ,44438,64.0
2607,Victor Frankenstein,2015,6.0,36        ,43698,60.0
2608,Wild Card,2015,5.6,40        ,43507,56.0
2609,Hot Pursuit,2015,5.1,31        ,42427,51.0
2610,The Dressmaker,2015,7.1,47        ,41655,71.0
2611,Man Up,2015,6.8,69        ,40957,68.0
2612,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62        ,40567,60.0
2613,Amy,2015,7.8,85        ,40528,78.0
2614,Victoria,2015,7.7,77        ,40464,77.0
2615,Far from the Madding Crowd,2015,7.1,71        ,38290,71.0
2616,The Man Who Knew Infinity,2015,7.2,56        ,38189,72.0
2617,Scouts Guide to the Zombie Apocalypse,2015,6.3,32        ,37228,63.0
2618,Sinister 2,2015,5.3,32        ,37197,53.0
2619,The Peanuts Movie,2015,7.1,67        ,37058,71.0
2620,The Colony,2015,7.1,33        ,37015,71.0
2621,Mr. Right,2015,6.3,52        ,36951,63.0
2622,Maggie,2015,5.6,52        ,36852,56.0
2623,Son of Saul,2015,7.5,89        ,35559,75.0
2624,Dark Places,2015,6.2,39        ,35324,62.0
2625,Slow West,2015,6.9,72        ,34961,69.0
2626,The Ridiculous 6,2015,4.8,18        ,34940,48.0
2627,Ip Man 3,2015,7.1,57        ,34470,71.0
2628,The Lazarus Effect,2015,5.2,31        ,34362,52.0
2629,The Transporter Refueled,2015,5.2,32        ,34031,52.0
2630,The Gunman,2015,5.8,39        ,33950,58.0
2631,Last Knights,2015,6.2,27        ,33668,62.0
2632,Secret in Their Eyes,2015,6.3,45        ,33318,63.0
2633,The Boy Next Door,2015,4.7,30        ,32877,47.0
2634,Hot Tub Time Machine 2,2015,5.1,29        ,32871,51.0
2635,Sleeping with Other People,2015,6.5,64        ,32759,65.0
2636,A Man Called Ove,2015,7.7,70        ,32490,77.0
2637,Going Clear: Scientology & the Prison of Belief,2015,8.0,80        ,32037,80.0
2638,Suffragette,2015,6.9,67        ,31312,69.0
2639,Absolutely Anything,2015,6.0,31        ,31144,60.0
2640,High-Rise,2015,5.6,65        ,30832,56.0
2641,Regression,2015,5.7,32        ,30642,57.0
2642,Shaun the Sheep Movie,2015,7.4,81        ,30328,74.0
2643,The 33,2015,6.9,55        ,29886,69.0
2644,We Are Your Friends,2015,6.2,46        ,29770,62.0
2645,Love,2015,6.0,51        ,29611,60.0
2646,"McFarland, USA",2015,7.4,60        ,29344,74.0
2647,Paul Blart: Mall Cop 2,2015,4.4,13        ,28766,44.0
2648,The Stanford Prison Experiment,2015,6.9,67        ,27936,69.0
2649,Mustang,2015,7.6,83        ,27893,76.0
2650,The Final Girls,2015,6.6,59        ,27412,66.0
2651,The Second Best Exotic Marigold Hotel,2015,6.6,51        ,27199,66.0
2652,Deadpool,2016,8.0,65        ,736463,80.0
2653,Batman v Superman: Dawn of Justice,2016,6.6,44        ,534714,66.0
2654,Captain America: Civil War,2016,7.8,75        ,504098,78.0
2655,Suicide Squad,2016,6.1,40        ,479616,61.0
2656,Arrival,2016,7.9,81        ,451342,79.0
2657,Rogue One: A Star Wars Story,2016,7.8,65        ,428063,78.0
2658,Doctor Strange,2016,7.5,72        ,424848,75.0
2659,La La Land,2016,8.1,93        ,375333,81.0
2660,Zootopia,2016,8.0,78        ,345860,80.0
2661,X-Men: Apocalypse,2016,7.0,52        ,320858,70.0
2662,Hacksaw Ridge,2016,8.2,71        ,320818,82.0
2663,Fantastic Beasts and Where to Find Them,2016,7.4,66        ,305011,74.0
2664,Passengers,2016,7.0,41        ,274628,70.0
2665,Split,2016,7.3,62        ,265657,73.0
2666,10 Cloverfield Lane,2016,7.2,76        ,237603,72.0
2667,The Jungle Book,2016,7.4,77        ,225774,74.0
2668,The Nice Guys,2016,7.4,70        ,215402,74.0
2669,The Accountant,2016,7.4,51        ,211919,74.0
2670,Warcraft: The Beginning,2016,6.9,32        ,210872,69.0
2671,Moonlight,2016,7.4,99        ,195102,74.0
2672,Star Trek: Beyond,2016,7.1,68        ,194764,71.0
2673,Finding Dory,2016,7.3,77        ,191922,73.0
2674,Moana,2016,7.6,81        ,191450,76.0
2675,Now You See Me 2,2016,6.5,46        ,190966,65.0
2676,Manchester by the Sea,2016,7.8,96        ,188935,78.0
2677,Sully,2016,7.5,74        ,178245,75.0
2678,Nocturnal Animals,2016,7.5,67        ,178224,75.0
2679,Jason Bourne,2016,6.6,58        ,175699,66.0
2680,Ghostbusters,2016,5.3,60        ,169037,53.0
2681,The Conjuring 2,2016,7.4,65        ,167311,74.0
2682,The Promise,2016,6.1,49        ,161328,61.0
2683,Lion,2016,8.1,69        ,160272,81.0
2684,Don't Breathe,2016,7.1,71        ,160000,71.0
2685,Hell or High Water,2016,7.6,88        ,154139,76.0
2686,The Magnificent Seven,2016,6.9,54        ,153372,69.0
2687,Assassin's Creed,2016,5.8,36        ,152506,58.0
2688,Hidden Figures,2016,7.8,74        ,149951,78.0
2689,Me Before You,2016,7.4,51        ,145920,74.0
2690,The Secret Life of Pets,2016,6.5,61        ,145663,65.0
2691,Independence Day: Resurgence,2016,5.2,32        ,145658,52.0
2692,Sausage Party,2016,6.2,66        ,144693,62.0
2693,Captain Fantastic,2016,7.9,72        ,139880,79.0
2694,The Legend of Tarzan,2016,6.3,44        ,138387,63.0
2695,War Dogs,2016,7.1,57        ,137433,71.0
2696,The Girl on the Train,2016,6.5,48        ,133626,65.0
2697,Miss Peregrine's Home for Peculiar Children,2016,6.7,57        ,128857,67.0
2698,Inferno,2016,6.2,42        ,123017,62.0
2699,Deepwater Horizon,2016,7.2,68        ,119681,72.0
2700,Central Intelligence,2016,6.3,52        ,119245,63.0
2701,London Has Fallen,2016,5.9,28        ,115099,59.0
2702,Allied,2016,7.1,60        ,110360,71.0
2703,Snowden,2016,7.3,58        ,104942,73.0
2704,Jack Reacher: Never Go Back,2016,6.1,47        ,103663,61.0
2705,Kung Fu Panda 3,2016,7.1,66        ,103458,71.0
2706,"Hail, Caesar!",2016,6.3,72        ,102898,63.0
2707,The Great Wall,2016,6.0,42        ,98850,60.0
2708,Sing,2016,7.1,59        ,98690,71.0
2709,Your Name,2016,8.4,79        ,95381,84.0
2710,The Shallows,2016,6.3,59        ,95177,63.0
2711,13 Hours,2016,7.3,48        ,93128,73.0
2712,Kubo and the Two Strings,2016,7.8,84        ,93095,78.0
2713,Neighbors 2: Sorority Rising,2016,5.7,58        ,92184,57.0
2714,Nerve,2016,6.6,58        ,91585,66.0
2715,Dirty Grandpa,2016,5.9,21        ,91396,59.0
2716,Bad Moms,2016,6.2,60        ,90367,62.0
2717,Lights Out,2016,6.3,58        ,89629,63.0
2718,Train to Busan,2016,7.5,72        ,88679,75.0
2719,Gods of Egypt,2016,5.4,25        ,86425,54.0
2720,Allegiant,2016,5.7,33        ,85031,57.0
2721,The 5th Wave,2016,5.2,33        ,83936,52.0
2722,The Founder,2016,7.2,66        ,81906,72.0
2723,Swiss Army Man,2016,7.0,64        ,80651,70.0
2724,Why Him?,2016,6.2,39        ,80184,62.0
2725,Money Monster,2016,6.5,55        ,80156,65.0
2726,The Huntsman: Winter's War,2016,6.1,35        ,78997,61.0
2727,Silence,2016,7.2,79        ,75651,72.0
2728,Fences,2016,7.2,79        ,75321,72.0
2729,The Brothers Grimsby,2016,6.2,44        ,75249,62.0
2730,Hunt for the Wilderpeople,2016,7.9,81        ,75047,79.0
2731,The Edge of Seventeen,2016,7.4,77        ,72451,74.0
2732,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6.0,40        ,71008,60.0
2733,Alice Through the Looking Glass,2016,6.2,34        ,70545,62.0
2734,Collateral Beauty,2016,6.8,23        ,69048,68.0
2735,How to Be Single,2016,6.1,51        ,68660,61.0
2736,Mike and Dave Need Wedding Dates,2016,6.0,51        ,68279,60.0
2737,Eddie the Eagle,2016,7.4,54        ,68199,74.0
2738,The Purge: Election Year,2016,6.0,55        ,67442,60.0
2739,Sing Street,2016,8.0,79        ,67316,80.0
2740,Resident Evil: The Final Chapter,2016,5.6,49        ,66973,56.0
2741,Patriots Day,2016,7.4,69        ,66012,74.0
2742,The Angry Birds Movie,2016,6.3,43        ,64683,63.0
2743,The Neon Demon,2016,6.2,51        ,64475,62.0
2744,Midnight Special,2016,6.6,76        ,63805,66.0
2745,The BFG,2016,6.4,66        ,62961,64.0
2746,Hush,2016,6.6,67        ,62701,66.0
2747,A Monster Calls,2016,7.5,76        ,61991,75.0
2748,The Handmaiden,2016,8.1,84        ,61401,81.0
2749,The Autopsy of Jane Doe,2016,6.8,65        ,61337,68.0
2750,The Boy,2016,6.0,42        ,60682,60.0
2751,A Cure for Wellness,2016,6.4,47        ,60462,64.0
2752,Mechanic: Resurrection,2016,5.7,38        ,59867,57.0
2753,Jackie,2016,6.7,81        ,59655,67.0
2754,The Lost City of Z,2016,6.6,78        ,57252,66.0
2755,Trolls,2016,6.5,56        ,57002,65.0
2756,Underworld: Blood Wars,2016,5.8,23        ,56613,58.0
2757,Café Society,2016,6.6,64        ,56549,66.0
2758,The Infiltrator,2016,7.0,66        ,56476,70.0
2759,Triple 9,2016,6.3,52        ,56167,63.0
2760,Zoolander 2,2016,4.7,34        ,55880,47.0
2761,Bridget Jones's Baby,2016,6.6,59        ,53414,66.0
2762,The Finest Hours,2016,6.8,58        ,52037,68.0
2763,Office Christmas Party,2016,5.8,42        ,48975,58.0
2764,Elle,2016,7.2,89        ,48871,72.0
2765,Blood Father,2016,6.4,66        ,47988,64.0
2766,Criminal,2016,6.3,36        ,47014,63.0
2767,Paterson,2016,7.4,90        ,46769,74.0
2768,Keeping Up with the Joneses,2016,5.9,34        ,46547,59.0
2769,Storks,2016,6.8,56        ,45846,68.0
2770,Pete's Dragon,2016,6.7,71        ,45193,67.0
2771,Ride Along 2,2016,5.9,32        ,44460,59.0
2772,Everybody Wants Some!!,2016,7.0,83        ,44089,70.0
2773,Gold,2016,6.7,49        ,43899,67.0
2774,Colossal,2016,6.2,70        ,43673,62.0
2775,Ice Age: Collision Course,2016,5.7,34        ,42846,57.0
2776,Whiskey Tango Foxtrot,2016,6.6,57        ,42844,66.0
2777,Live by Night,2016,6.4,49        ,42144,64.0
2778,Miss Sloane,2016,7.5,64        ,42002,75.0
2779,Pride and Prejudice and Zombies,2016,5.8,45        ,41658,58.0
2780,The Fundamentals of Caring,2016,7.3,55        ,40996,73.0
2781,Ouija: Origin of Evil,2016,6.1,65        ,40896,61.0
2782,Popstar: Never Stop Never Stopping,2016,6.7,68        ,40254,67.0
2783,Florence Foster Jenkins,2016,6.9,71        ,40236,69.0
2784,The Girl with All the Gifts,2016,6.7,67        ,39924,67.0
2785,Masterminds,2016,5.8,47        ,39672,58.0
2786,The Light Between Oceans,2016,7.2,60        ,39651,72.0
2787,Raw,2016,7.0,81        ,39643,70.0
2788,Free State of Jones,2016,6.9,53        ,38829,69.0
2789,Keanu,2016,6.3,63        ,38116,63.0
2790,"I, Daniel Blake",2016,7.9,78        ,38083,79.0
2791,The Salesman,2016,7.8,85        ,35061,78.0
2792,Ben-Hur,2016,5.7,38        ,34957,57.0
2793,The Boss,2016,5.4,40        ,34449,54.0
2794,Toni Erdmann,2016,7.4,93        ,34288,74.0
2795,Imperium,2016,6.5,68        ,34218,65.0
2796,Anthropoid,2016,7.2,59        ,33792,72.0
2797,The Forest,2016,4.8,34        ,33424,48.0
2798,Blair Witch,2016,5.0,47        ,33085,50.0
2799,Meet the Blacks,2016,6.3,26        ,32705,63.0
2800,The Belko Experiment,2016,6.1,44        ,32388,61.0
2801,A Hologram for the King,2016,6.1,58        ,32336,61.0
2802,Morgan,2016,5.8,48        ,31772,58.0
2803,Free Fire,2016,6.4,63        ,30913,64.0
2804,The Do-Over,2016,5.7,22        ,29513,57.0
2805,Race,2016,7.1,56        ,28308,71.0
2806,The Wailing,2016,7.4,81        ,27989,74.0
2807,American Honey,2016,7.0,79        ,27317,70.0
2808,The Take,2016,6.3,48        ,27314,63.0
2809,Before I Wake,2016,6.2,68        ,27272,62.0
2810,Logan,2017,8.1,77        ,485292,81.0
2811,Wonder Woman,2017,7.5,76        ,415115,75.0
2812,Dunkirk,2017,8.0,94        ,393186,80.0
2813,Star Wars: The Last Jedi,2017,7.3,85        ,386803,73.0
2814,Guardians of the Galaxy Vol. 2,2017,7.7,67        ,384287,77.0
2815,Thor: Ragnarok,2017,7.9,74        ,340088,79.0
2816,Spider-Man: Homecoming,2017,7.5,73        ,329982,75.0
2817,Get Out,2017,7.7,84        ,308495,77.0
2818,Baby Driver,2017,7.7,86        ,302000,77.0
2819,Blade Runner 2049,2017,8.1,81        ,299171,81.0
2820,It,2017,7.5,69        ,277063,75.0
2821,Justice League,2017,6.7,45        ,255585,67.0
2822,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88        ,240830,82.0
2823,John Wick: Chapter 2,2017,7.5,75        ,230637,75.0
2824,The Shape of Water,2017,7.4,87        ,218852,74.0
2825,Beauty and the Beast,2017,7.2,65        ,208186,72.0
2826,Kong: Skull Island,2017,6.7,62        ,206928,67.0
2827,Alien: Covenant,2017,6.4,65        ,200474,64.0
2828,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39        ,196456,66.0
2829,Kingsman: The Golden Circle,2017,6.8,44        ,181540,68.0
2830,Coco,2017,8.5,81        ,180083,85.0
2831,War for the Planet of the Apes,2017,7.5,82        ,173131,75.0
2832,Jumanji: Welcome to the Jungle,2017,7.0,58        ,168497,70.0
2833,The Fate of the Furious,2017,6.7,56        ,161490,67.0
2834,Life,2017,6.6,54        ,158116,66.0
2835,Ghost in the Shell,2017,6.4,52        ,153441,64.0
2836,King Arthur: Legend of the Sword,2017,6.8,41        ,149029,68.0
2837,Murder on the Orient Express,2017,6.6,52        ,139025,66.0
2838,The Mummy,2017,5.5,34        ,133586,55.0
2839,The Hitman's Bodyguard,2017,6.9,47        ,132713,69.0
2840,The Greatest Showman,2017,7.7,48        ,128759,77.0
2841,Bright,2017,6.4,29        ,127485,64.0
2842,Wind River,2017,7.8,73        ,125792,78.0
2843,Lady Bird,2017,7.5,94        ,125045,75.0
2844,Atomic Blonde,2017,6.7,63        ,124504,67.0
2845,Mother!,2017,6.7,75        ,119363,67.0
2846,Valerian and the City of a Thousand Planets,2017,6.5,51        ,117970,65.0
2847,Call Me by Your Name,2017,8.0,93        ,108463,80.0
2848,Baywatch,2017,5.6,37        ,105949,56.0
2849,The Lego Batman Movie,2017,7.3,75        ,100201,73.0
2850,American Made,2017,7.2,65        ,100003,72.0
2851,Darkest Hour,2017,7.4,75        ,99394,74.0
2852,Transformers: The Last Knight,2017,5.2,27        ,99105,52.0
2853,"I, Tonya",2017,7.5,77        ,91937,75.0
2854,The Dark Tower,2017,5.7,34        ,90840,57.0
2855,The Big Sick,2017,7.6,86        ,86384,76.0
2856,Logan Lucky,2017,7.1,78        ,83716,71.0
2857,Power Rangers,2017,6.0,44        ,82510,60.0
2858,T2 Trainspotting,2017,7.2,67        ,82078,72.0
2859,The Disaster Artist,2017,7.5,76        ,80628,75.0
2860,The Boss Baby,2017,6.3,50        ,79459,63.0
2861,Wonder,2017,8.0,66        ,76851,80.0
2862,The Post,2017,7.2,83        ,74360,72.0
2863,Despicable Me 3,2017,6.3,49        ,74350,63.0
2864,Fifty Shades Darker,2017,4.6,33        ,72177,46.0
2865,Annabelle: Creation,2017,6.6,62        ,70377,66.0
2866,xXx: Return of Xander Cage,2017,5.2,42        ,69726,52.0
2867,Gifted,2017,7.6,60        ,67670,76.0
2868,Molly's Game,2017,7.5,71        ,66430,75.0
2869,What Happened to Monday,2017,6.9,47        ,64719,69.0
2870,The Foreigner,2017,7.0,55        ,64683,70.0
2871,The Circle,2017,5.3,43        ,61740,53.0
2872,The Killing of a Sacred Deer,2017,7.1,73        ,61609,71.0
2873,Okja,2017,7.4,75        ,60152,74.0
2874,Phantom Thread,2017,7.6,90        ,59674,76.0
2875,Geostorm,2017,5.3,21        ,59407,53.0
2876,Death Note,2017,4.6,43        ,58223,46.0
2877,Going in Style,2017,6.6,50        ,56693,66.0
2878,It Comes at Night,2017,6.2,78        ,56358,62.0
2879,Happy Death Day,2017,6.5,57        ,56155,65.0
2880,The Florida Project,2017,7.6,92        ,50589,76.0
2881,Downsizing,2017,5.7,63        ,49304,57.0
2882,Shot Caller,2017,7.3,59        ,46230,73.0
2883,Cars 3,2017,6.8,59        ,45812,68.0
2884,Gerald's Game,2017,6.7,77        ,45671,67.0
2885,American Assassin,2017,6.2,45        ,45025,62.0
2886,A Dog's Purpose,2017,6.9,43        ,44696,69.0
2887,Jigsaw,2017,5.8,39        ,43985,58.0
2888,The Mountain Between Us,2017,6.4,48        ,41600,64.0
2889,The Emoji Movie,2017,3.1,12        ,39585,31.0
2890,All the Money in the World,2017,6.9,72        ,39160,69.0
2891,Good Time,2017,7.3,80        ,39019,73.0
2892,The Death of Stalin,2017,7.2,88        ,36147,72.0
2893,The Snowman,2017,5.1,23        ,35763,51.0
2894,A Ghost Story,2017,6.9,84        ,35750,69.0
2895,The Beguiled,2017,6.4,77        ,35179,64.0
2896,The Space Between Us,2017,6.4,33        ,34625,64.0
2897,The Ritual,2017,6.3,57        ,34077,63.0
2898,Brawl in Cell Block 99,2017,7.1,79        ,32898,71.0
2899,Daddy's Home 2,2017,6.0,30        ,32754,60.0
2900,Rough Night,2017,5.2,51        ,32580,52.0
2901,The Square,2017,7.3,73        ,32547,73.0
2902,You Were Never Really Here,2017,6.9,84        ,32084,69.0
2903,Detroit,2017,7.4,77        ,31857,74.0
2904,Battle of the Sexes,2017,6.7,73        ,31725,67.0
2905,Before I Fall,2017,6.4,58        ,31705,64.0
2906,47 Metres Down,2017,5.7,52        ,31432,57.0
2907,CHIPS,2017,6.0,28        ,30363,60.0
2908,Pitch Perfect 3,2017,5.9,40        ,30175,59.0
2909,Rings,2017,4.5,25        ,29813,45.0
2910,War Machine,2017,6.0,56        ,29652,60.0
2911,I Don't Feel at Home in This World Anymore.,2017,7.0,75        ,29630,70.0
2912,Fist Fight,2017,5.6,37        ,29510,56.0
2913,Paddington 2,2017,7.9,88        ,29014,79.0
2914,Only the Brave,2017,7.7,72        ,28941,77.0
2915,Loving Vincent,2017,7.9,62        ,28020,79.0
2916,Jungle,2017,6.7,48        ,27699,67.0
2917,Hostiles,2017,7.2,65        ,27572,72.0
2918,Ferdinand,2017,6.7,58        ,27130,67.0
2919,To the Bone,2017,6.9,64        ,26401,69.0
2920,Mudbound,2017,7.4,85        ,26188,74.0
2921,Snatched,2017,4.4,45        ,25930,44.0
2922,The Zookeeper's Wife,2017,7.0,57        ,25708,70.0
2923,Flatliners,2017,5.2,27        ,25304,52.0
2924,The House,2017,5.6,30        ,25262,56.0
2925,1922,2017,6.3,70        ,25108,63.0
2926,Kidnap,2017,5.9,44        ,24340,59.0
2927,Stronger,2017,7.0,76        ,24074,70.0
2928,The Meyerowitz Stories (New and Selected),2017,7.0,79        ,23753,70.0
2929,Girls Trip,2017,6.2,71        ,23421,62.0
2930,A Bad Moms Christmas,2017,5.5,42        ,22904,55.0
2931,Sleepless,2017,5.6,34        ,22118,56.0
2932,The Shack,2017,6.3,32        ,22055,63.0
2933,Suburbicon,2017,5.6,42        ,21674,56.0
2934,Icarus,2017,8.0,68        ,21247,80.0
2935,The Ottoman Lieutenant,2017,6.8,26        ,20910,68.0
2936,The Discovery,2017,6.3,54        ,20855,63.0
2937,Ingrid Goes West,2017,6.7,71        ,20508,67.0
2938,"Everything, Everything",2017,6.4,52        ,19739,64.0
2939,Victoria & Abdul,2017,6.8,58        ,18693,68.0
2940,Captain Underpants: The First Epic Movie,2017,6.2,69        ,18590,62.0
2941,Unlocked,2017,6.2,46        ,18083,62.0
2942,Table 19,2017,5.8,40        ,18049,58.0
2943,The Wall,2017,6.2,57        ,17080,62.0
2944,Loveless,2017,7.7,86        ,16953,77.0
2945,Home Again,2017,5.7,41        ,16123,57.0
2946,The Glass Castle,2017,7.2,56        ,16061,72.0
2947,All Eyez on Me,2017,5.8,38        ,15677,58.0
2948,"Roman J. Israel, Esq.",2017,6.4,58        ,15490,64.0
2949,Megan Leavey,2017,7.1,66        ,15436,71.0
